xF,R,B,xD,QR
0.5,2.2,2.66667,0.810932,-1370840.0
0.5,2.2,3.0,0.810932,-1370840.0
0.5,2.9,1.0,0.810932,-1370840.0
0.5,2.9,1.33333,0.81951,-1019260.0
0.5,2.9,1.66667,0.81975,-1197560.0
0.5,2.9,2.0,0.81975,-1197560.0
0.5,2.9,2.33333,0.81975,-1197560.0
0.5,2.9,2.66667,0.81975,-1197560.0
0.5,2.9,3.0,0.81975,-1197560.0
0.5,3.6,1.0,0.81975,-1197560.0
0.5,3.6,1.33333,0.81975,-1197560.0
0.5,3.6,1.66667,0.81975,-1197560.0
0.5,3.6,2.0,0.81975,-1197560.0
0.5,3.6,2.33333,0.81975,-1197560.0
0.5,3.6,2.66667,0.81975,-1197560.0
0.5,3.6,3.0,0.81975,-1197560.0
0.5,4.3,1.0,0.81975,-1197560.0
0.5,4.3,1.33333,0.81975,-1197560.0
0.5,4.3,1.66667,0.81975,-1197560.0
0.5,4.3,2.0,0.81975,-1197560.0
0.5,4.3,2.33333,0.81975,-1197560.0
0.5,4.3,2.66667,0.81975,-1197560.0
0.5,4.3,3.0,0.81975,-1197560.0
0.5,5.0,1.0,0.81975,-1197560.0
0.5,5.0,1.33333,0.81975,-1197560.0
0.5,5.0,1.66667,0.81975,-1197560.0
0.5,5.0,2.0,0.81975,-1197560.0
0.5,5.0,2.33333,0.81975,-1197560.0
0.5,5.0,2.66667,0.81975,-1197560.0
0.5,5.0,3.0,0.81975,-1197560.0
0.65,0.8,1.0,0.759595,-266166.0
0.65,0.8,1.33333,0.759674,-317030.0
0.65,0.8,1.66667,0.759736,-358119.0
0.65,0.8,2.0,0.7598,-392088.0
0.65,0.8,2.33333,0.75983,-420846.0
0.65,0.8,2.66667,0.75983,-420846.0
0.65,0.8,3.0,0.75983,-420846.0
0.65,1.5,1.0,0.796737,-400626.0
0.65,1.5,1.33333,0.796922,-487583.0
0.65,1.5,1.66667,0.797073,-560568.0
0.65,1.5,2.0,0.797205,-622700.0
0.65,1.5,2.33333,0.797294,-676246.0
0.65,1.5,2.66667,0.797391,-722906.0
0.65,1.5,3.0,0.797455,-763980.0
0.65,2.2,1.0,0.81349,-490528.0
0.65,2.2,1.33333,0.813747,-605829.0
0.65,2.2,1.66667,0.813965,-705275.0
0.65,2.2,2.0,0.814146,-791920.0
0.65,2.2,2.33333,0.8143,-868084.0
0.65,2.2,2.66667,0.814435,-935560.0
0.65,2.2,3.0,0.814514,-995754.0
0.65,2.9,1.0,0.822789,-554797.0
0.65,2.9,1.33333,0.823095,-692513.0
0.65,2.9,1.66667,0.823352,-813682.0
0.65,2.9,2.0,0.823575,-921104.0
0.65,2.9,2.33333,0.823764,-1020000.0
0.65,2.9,2.66667,0.823932,-1100000.0
0.65,2.9,3.0,0.82408,-1180000.0
0.65,3.6,1.0,0.82862,-603013.0
0.65,3.6,1.33333,0.82896,-758760.0
0.65,3.6,1.66667,0.82925,-897892.0
0.65,3.6,2.0,0.829499,-1020000.0
0.65,3.6,2.33333,0.829716,-1140000.0
0.65,3.6,2.66667,0.829909,-1240000.0
0.65,3.6,3.0,0.830078,-1330000.0
0.65,4.3,1.0,0.832586,-640517.0
0.65,4.3,1.33333,0.832951,-811033.0
0.65,4.3,1.66667,0.833264,-965187.0
0.65,4.3,2.0,0.833536,-1110000.0
0.65,4.3,2.33333,0.833775,-1230000.0
0.65,4.3,2.66667,0.833986,-1350000.0
0.65,4.3,3.0,0.834173,-1460000.0
0.65,5.0,1.0,0.835444,-670525.0
0.65,5.0,1.33333,0.835829,-853329.0
0.65,5.0,1.66667,0.83616,-1020000.0
0.65,5.0,2.0,0.836449,-1170000.0
0.65,5.0,2.33333,0.836706,-1310000.0
0.65,5.0,2.66667,0.836929,-1440000.0
0.65,5.0,3.0,0.837133,-1560000.0
0.7,0.8,1.0,0.77021,-256657.0
0.7,0.8,1.33333,0.770256,-305770.0
0.7,0.8,1.66667,0.770296,-345414.0
0.7,0.8,2.0,0.770327,-378074.0
0.7,0.8,2.33333,0.770345,-405450.0
0.7,0.8,2.66667,0.770369,-428719.0
0.7,0.8,3.0,0.77038,-448745.0
0.7,1.5,1.0,0.802379,-385648.0
0.7,1.5,1.33333,0.802534,-469432.0
0.7,1.5,1.66667,0.802663,-539779.0
0.7,1.5,2.0,0.80277,-599675.0
0.7,1.5,2.33333,0.802861,-651278.0
0.7,1.5,2.66667,0.802938,-696201.0
0.7,1.5,3.0,0.803006,-735654.0
0.7,2.2,1.0,0.817812,-471822.0
0.7,2.2,1.33333,0.818045,-582788.0
0.7,2.2,1.66667,0.818238,-678524.0
0.7,2.2,2.0,0.818403,-761957.0
0.7,2.2,2.33333,0.818546,-835310.0
0.7,2.2,2.66667,0.818668,-900303.0
0.7,2.2,3.0,0.818776,-958282.0
0.7,2.9,1.0,0.82649,-533428.0
0.7,2.9,1.33333,0.826773,-665887.0
0.7,2.9,1.66667,0.827013,-782457.0
0.7,2.9,2.0,0.827219,-885828.0
0.7,2.9,2.33333,0.827397,-978117.0
0.7,2.9,2.66667,0.827554,-1060000.0
0.7,2.9,3.0,0.827689,-1140000.0
0.7,3.6,1.0,0.831955,-579653.0
0.7,3.6,1.33333,0.832274,-729401.0
0.7,3.6,1.66667,0.832547,-863203.0
0.7,3.6,2.0,0.832782,-983460.0
0.7,3.6,2.33333,0.832988,-1090000.0
0.7,3.6,2.66667,0.833169,-1190000.0
0.7,3.6,3.0,0.83333,-1280000.0
0.7,4.3,1.0,0.835677,-615613.0
0.7,4.3,1.33333,0.836021,-779528.0
0.7,4.3,1.66667,0.836318,-927733.0
0.7,4.3,2.0,0.836575,-1060000.0
0.7,4.3,2.33333,0.836801,-1190000.0
0.7,4.3,2.66667,0.837001,-1300000.0
0.7,4.3,3.0,0.83718,-1400000.0
0.7,5.0,1.0,0.83836,-644387.0
0.7,5.0,1.33333,0.838723,-820088.0
0.7,5.0,1.66667,0.839037,-980482.0
0.7,5.0,2.0,0.839311,-1130000.0
0.7,5.0,2.33333,0.839554,-1260000.0
0.7,5.0,2.66667,0.839769,-1390000.0
0.7,5.0,3.0,0.839961,-1500000.0
