R,B,xD,QR,xF,R_over_R_plus_1,R_times_xF,alpha_approx,R_min_approx,R_factor
0.8,1.0,0.946132,-213365.0,0.3,0.4444444444444445,0.24,4.017,0.33145508783559824,2.4136
0.8,1.33333,0.946144,-254215.0,0.3,0.4444444444444445,0.24,4.017,0.33145508783559824,2.4136
0.8,1.66667,0.946168,-287206.0,0.3,0.4444444444444445,0.24,4.017,0.33145508783559824,2.4136
0.8,2.0,0.946205,-314409.0,0.3,0.4444444444444445,0.24,4.017,0.33145508783559824,2.4136
0.8,2.33333,0.946256,-337223.0,0.3,0.4444444444444445,0.24,4.017,0.33145508783559824,2.4136
0.8,2.66667,0.946317,-356632.0,0.3,0.4444444444444445,0.24,4.017,0.33145508783559824,2.4136
0.8,3.0,0.946387,-373344.0,0.3,0.4444444444444445,0.24,4.017,0.33145508783559824,2.4136
1.5,1.0,0.942752,-320593.0,0.3,0.6,0.44999999999999996,4.017,0.33145508783559824,4.5255
1.5,1.33333,0.942769,-390276.0,0.3,0.6,0.44999999999999996,4.017,0.33145508783559824,4.5255
1.5,1.66667,0.942806,-448807.0,0.3,0.6,0.44999999999999996,4.017,0.33145508783559824,4.5255
1.5,2.0,0.942867,-498664.0,0.3,0.6,0.44999999999999996,4.017,0.33145508783559824,4.5255
1.5,2.33333,0.94295,-541642.0,0.3,0.6,0.44999999999999996,4.017,0.33145508783559824,4.5255
1.5,2.66667,0.943054,-579074.0,0.3,0.6,0.44999999999999996,4.017,0.33145508783559824,4.5255
1.5,3.0,0.943174,-611968.0,0.3,0.6,0.44999999999999996,4.017,0.33145508783559824,4.5255
2.2,1.0,0.939461,-392081.0,0.3,0.6875,0.66,4.017,0.33145508783559824,6.637400000000001
2.2,1.33333,0.939473,-484324.0,0.3,0.6875,0.66,4.017,0.33145508783559824,6.637400000000001
2.2,1.66667,0.939514,-563925.0,0.3,0.6875,0.66,4.017,0.33145508783559824,6.637400000000001
2.2,2.0,0.939587,-633318.0,0.3,0.6875,0.66,4.017,0.33145508783559824,6.637400000000001
2.2,2.33333,0.939693,-694347.0,0.3,0.6875,0.66,4.017,0.33145508783559824,6.637400000000001
2.2,2.66667,0.939828,-748442.0,0.3,0.6875,0.66,4.017,0.33145508783559824,6.637400000000001
2.2,3.0,0.939987,-796717.0,0.3,0.6875,0.66,4.017,0.33145508783559824,6.637400000000001
2.9,1.0,0.936339,-443147.0,0.3,0.7435897435897436,0.87,4.017,0.33145508783559824,8.7493
2.9,1.33333,0.936335,-553214.0,0.3,0.7435897435897436,0.87,4.017,0.33145508783559824,8.7493
2.9,1.66667,0.936367,-650095.0,0.3,0.7435897435897436,0.87,4.017,0.33145508783559824,8.7493
2.9,2.0,0.93644,-736025.0,0.3,0.7435897435897436,0.87,4.017,0.33145508783559824,8.7493
2.9,2.33333,0.936554,-812762.0,0.3,0.7435897435897436,0.87,4.017,0.33145508783559824,8.7493
2.9,2.66667,0.936707,-881705.0,0.3,0.7435897435897436,0.87,4.017,0.33145508783559824,8.7493
2.9,3.0,0.936892,-943986.0,0.3,0.7435897435897436,0.87,4.017,0.33145508783559824,8.7493
3.6,1.0,0.93344,-481447.0,0.3,0.782608695652174,1.08,4.017,0.33145508783559824,10.861200000000002
3.6,1.33333,0.933407,-605849.0,0.3,0.782608695652174,1.08,4.017,0.33145508783559824,10.861200000000002
3.6,1.66667,0.933417,-717021.0,0.3,0.782608695652174,1.08,4.017,0.33145508783559824,10.861200000000002
3.6,2.0,0.933476,-816948.0,0.3,0.782608695652174,1.08,4.017,0.33145508783559824,10.861200000000002
3.6,2.33333,0.933586,-907268.0,0.3,0.782608695652174,1.08,4.017,0.33145508783559824,10.861200000000002
3.6,2.66667,0.933742,-989298.0,0.3,0.782608695652174,1.08,4.017,0.33145508783559824,10.861200000000002
3.6,3.0,0.93394,-1060000.0,0.3,0.782608695652174,1.08,4.017,0.33145508783559824,10.861200000000002
4.3,1.0,0.930783,-511236.0,0.3,0.8113207547169812,1.2899999999999998,4.017,0.33145508783559824,12.9731
4.3,1.33333,0.930712,-647380.0,0.3,0.8113207547169812,1.2899999999999998,4.017,0.33145508783559824,12.9731
4.3,1.66667,0.930689,-770490.0,0.3,0.8113207547169812,1.2899999999999998,4.017,0.33145508783559824,12.9731
