DCOL-1 - Condenser_Specification_Value,DCOL-1 - Reboiler_Specification_Value,3 - Molar Fraction (Mixture) / Ethanol (),DCOL-1 - Reboiler Duty (kcal/h)
0.8,1,0.946132,-213365
0.8,1.33333,0.946144,-254215
0.8,1.66667,0.946168,-287206
0.8,2,0.946205,-314409
0.8,2.33333,0.946256,-337223
0.8,2.66667,0.946317,-356632
0.8,3,0.946387,-373344
1.5,1,0.942752,-320593
1.5,1.33333,0.942769,-390276
1.5,1.66667,0.942806,-448807
1.5,2,0.942867,-498664
1.5,2.33333,0.94295,-541642
1.5,2.66667,0.943054,-579074
1.5,3,0.943174,-611968
2.2,1,0.939461,-392081
2.2,1.33333,0.939473,-484324
2.2,1.66667,0.939514,-563925
2.2,2,0.939587,-633318
2.2,2.33333,0.939693,-694347
2.2,2.66667,0.939828,-748442
2.2,3,0.939987,-796717
2.9,1,0.936339,-443147
2.9,1.33333,0.936335,-553214
2.9,1.66667,0.936367,-650095
2.9,2,0.93644,-736025
2.9,2.33333,0.936554,-812762
2.9,2.66667,0.936707,-881705
2.9,3,0.936892,-943986
3.6,1,0.93344,-481447
3.6,1.33333,0.933407,-605849
3.6,1.66667,0.933417,-717021
3.6,2,0.933476,-816948
3.6,2.33333,0.933586,-907268
3.6,2.66667,0.933742,-989298
3.6,3,0.93394,-1.06E+06
4.3,1,0.930783,-511236
4.3,1.33333,0.930712,-647380
4.3,1.66667,0.930689,-770490
4.3,2,0.930724,-882353
4.3,2.33333,0.930817,-984443
4.3,2.66667,0.930965,-1.08E+06
4.3,3,0.931162,-1.16E+06
5,1,0.928371,-535068
5,1.33333,0.928253,-680982
5,1.66667,0.928191,-814195
5,2,0.928193,-936317
5,2.33333,0.928259,-1.05E+06
5,2.66667,0.928389,-1.15E+06
5,3,0.928574,-1.25E+06
