DCOL-1 - Condenser_Specification_Value,DCOL-1 - Reboiler_Specification_Value,3 - Molar Fraction (Mixture) / Ethanol (),DCOL-1 - Reboiler Duty (kcal/h)
0.8,1,0.77021,-256657
0.8,1.33333,0.770256,-305770
0.8,1.66667,0.770296,-345414
0.8,2,0.770327,-378074
0.8,2.33333,0.770345,-405450
0.8,2.66667,0.770369,-428719
0.8,3,0.77038,-448745
1.5,1,0.802379,-385648
1.5,1.33333,0.802534,-469432
1.5,1.66667,0.802663,-539779
1.5,2,0.80277,-599675
1.5,2.33333,0.802861,-651278
1.5,2.66667,0.802938,-696201
1.5,3,0.803006,-735654
2.2,1,0.817812,-471822
2.2,1.33333,0.818045,-582788
2.2,1.66667,0.818238,-678524
2.2,2,0.818403,-761957
2.2,2.33333,0.818546,-835310
2.2,2.66667,0.818668,-900303
2.2,3,0.818776,-958282
2.9,1,0.82649,-533428
2.9,1.33333,0.826773,-665887
2.9,1.66667,0.827013,-782457
2.9,2,0.827219,-885828
2.9,2.33333,0.827397,-978117
2.9,2.66667,0.827554,-1.06E+06
2.9,3,0.827689,-1.14E+06
3.6,1,0.831955,-579653
3.6,1.33333,0.832274,-729401
3.6,1.66667,0.832547,-863203
3.6,2,0.832782,-983460
3.6,2.33333,0.832988,-1.09E+06
3.6,2.66667,0.833169,-1.19E+06
3.6,3,0.83333,-1.28E+06
4.3,1,0.835677,-615613
4.3,1.33333,0.836021,-779528
4.3,1.66667,0.836318,-927733
4.3,2,0.836575,-1.06E+06
4.3,2.33333,0.836801,-1.19E+06
4.3,2.66667,0.837001,-1.30E+06
4.3,3,0.83718,-1.40E+06
5,1,0.83836,-644387
5,1.33333,0.838723,-820088
5,1.66667,0.839037,-980482
5,2,0.839311,-1.13E+06
5,2.33333,0.839554,-1.26E+06
5,2.66667,0.839769,-1.39E+06
5,3,0.839961,-1.50E+06
