DCOL-1 - Condenser_Specification_Value,DCOL-1 - Reboiler_Specification_Value,3 - Molar Fraction (Mixture) / Ethanol (),DCOL-1 - Reboiler Duty (kcal/h)
0.8,1,0.757227,-626860
0.8,1.33333,0.757331,-746799
0.8,1.66667,0.75737,-844043
0.8,2,0.75737,-844043
0.8,2.33333,0.75737,-844043
0.8,2.66667,0.757569,-1070030
0.8,3,0.757569,-1070030
1.5,1,0.793602,-715203
1.5,1.33333,0.793802,-870440
1.5,1.66667,0.79393,-1000900
1.5,2,0.794069,-1112350
1.5,2.33333,0.794069,-1112350
1.5,2.66667,0.794069,-1112350
1.5,3,0.794069,-1112350
2.2,1,0.794069,-1112350
2.2,1.33333,0.810305,-956277
2.2,1.66667,0.810592,-1113280
2.2,2,0.81067,-1250180
2.2,2.33333,0.810932,-1370840
2.2,2.66667,0.810932,-1370840
2.2,3,0.810932,-1370840
2.9,1,0.810932,-1370840
2.9,1.33333,0.81951,-1019260
2.9,1.66667,0.81975,-1197560
2.9,2,0.81975,-1197560
2.9,2.33333,0.81975,-1197560
2.9,2.66667,0.81975,-1197560
2.9,3,0.81975,-1197560
3.6,1,0.81975,-1197560
3.6,1.33333,0.81975,-1197560
3.6,1.66667,0.81975,-1197560
3.6,2,0.81975,-1197560
3.6,2.33333,0.81975,-1197560
3.6,2.66667,0.81975,-1197560
3.6,3,0.81975,-1197560
4.3,1,0.81975,-1197560
4.3,1.33333,0.81975,-1197560
4.3,1.66667,0.81975,-1197560
4.3,2,0.81975,-1197560
4.3,2.33333,0.81975,-1197560
4.3,2.66667,0.81975,-1197560
4.3,3,0.81975,-1197560
5,1,0.81975,-1197560
5,1.33333,0.81975,-1197560
5,1.66667,0.81975,-1197560
5,2,0.81975,-1197560
5,2.33333,0.81975,-1197560
5,2.66667,0.81975,-1197560
5,3,0.81975,-1197560
